id,classe,tweet
242,no,Pois e Qualificou e investiu pesado na PF e uns acham que e unico culpadoSP ta com falta de policial civil e PM e os paulista se acham kkkkkkkkkkkkk
243,no,A economia de uma casa ou empresa e diferente da economia de um pais uma empresa pode corta gasto bem mais facilmente mas seu o governo corta gastos gera desemprego e queda da economia John Maynad Keynes  Todos defendem gasto com responsabilidade agora cortar gastos de educacao e saude que nao 
244,no,Eles torcem quanto pior melhor
245,no,pois e quando estavam la nao fizeram nada de bom alem de distribuir dinheiro disfarcado de bolsa familia e outras coisas nesse sentido Educacao  Otima Saude Otima  isso ja  melhor do que distribuir dinheiro 
246,no,o grande vencedor das  urnas foram os votos brancos nulos o recado foi dado a todos os partidos inclusive os de  direita  viram coxinhada 
247,no,Aceita que a boquinha acabou doi menos  Vermelho so o ketchup
248,no,Essa e boa com alguns politicos  peco se possivel informe os bons politicos kkkkk
249,no,Alvaro e isso   A nossa arma e o voto  O problema e que o povo na sua maioria nao tem instrucao Nao estudou a historia do Brasil
250,no,nao importa de qual partido e a bandidagem e sistemica Enquanto ficarmos discutindo pardidarismo e comporativismo o combate a corrupcao sempre sera velado Forro privilegiado em pais com alto nivel de corrupcao e uma afronta a etica e a moral
251,no,o que  assinaturas a maioria de laranjas o resto nao sabe nem por que assinou
252,no,Depois que a Russia montar uma base na Venezuela o problema vai passar para eles
253,no,Teve uma hora e nao conseguiu a resposta Claro ela nao existe
254,no,Teve uma hora para responder e nao achou nada Claro  nao existe ditadura eficiente
255,no,MELHOR DITADURA MILITAR  DO QUE DITADURA DE ESQUERDA
256,no,kkkkk aqui so tem ze mane que ta na guerra fria ate hoje
257,yes,marcos nao precisa ser guerra fria FRIA e onde essse degoverruPTo nos jogou  VERMESLHOS FORA
258,no,A historia nos ensina A se precaver do futuro A prova A Venezuela ainda estao fazendo vitimas para impor a ideologia genocida
259,no,Apos quatro horas nao conseguiram encontrar um exemplo sequer de ditadura em paises desenvolvidos porque sera
260,no,realmente  mais o brasil  tem que muda essa situacao  se nao   nunca saira desse  mar de lama  
261,no,Marcos no Brasil nao houve ditadura militar houve governo militar pois entre as varias medidas para reerguer o pais e o povo posso te citar criacao do fgtsembrafilme embraer bnh   hidreletricas eleicoes diretas para governador e deputados Ta bom pra voce
262,no,A China possui uma ditadura e e uma das maiores economias do mundo Marcos
263,no,O Brasil tambem e uma das maiores economias do mundo e nem por isto e desenvolvido
264,yes,enfia o kit no teu cut
265,no,globo e sergio moro fizeram boca de urna nessas eleicoes
266,no,voces acham mesmo que alguem votara na direita depois da PEC  jogar o Brasil em grupo da Nigeria 
267,no,dl nem sei o que e melhor Nigeria ou venezeruela
268,yes,mauro e demente kkkkkkka guerra fria ja acabou faz tempo
269,yes,o teucuquente porem continua dando adoidado
270,yes,Mauro ze ruelaa falta de argumento e tao grande quanto a propina que ta recebendo para apoiar bandidos
271,no,O que esta OPOSICAO esta conseguindo e atrair para si e para os proximos e o odio dos eleitores 
272,no,Ainda bem Murilo Temos de terminar a faxina e limpar o pais da esquerda lha Urgente
273,no,Sao mesmo agitadores e so o que sabem fazer ha a tempo ainda sabem tambem roubar
274,no,Concordo plenamente e so o que sabem fazer Quando tentaram governar deu no que deu
275,no,Oposicao a um governo que governa APENAS para aELITE 
276,no,marcos e eu que achava que politica era  uma ferramenta de transformacao quato engano
277,no,esse partido chamado P T e esse P Sol sao uma doenca pra nossa nacao um enfermo
278,yes,Coisas de gentinha estao sempre fedendo a mortadela podre e nao tomam banho
279,no,Esse povo nao esta nem ai pro Brasil so querem ser contra
280,yes,Os idiotas remanescentes o resto insistem em querer continuar a prejudicar a patria 
281,no,em  acabara o forro privilegiado dai quero ver ministro do STF livrar a cara deste povo
282,yes,Raca de filhos duma pta Por que nao vao obstruir aquele gordinho ditador da coreia do Norte
283,yes,Sao todos malditos Espero que morram logo e sofrendo
284,no,A esquerda segue a passos largos rumo a quase extincao Continuem assim
285,yes,Tudo que os petralhas tocaram faliu Inclusive a paciencia do povo
286,yes,esses  energumenos  serao expurgados na proxima eleicao 
287,yes,E a direita quer o monopolio do cinismo fingindo que sao probos quando sao tao ou mais ladroes
288,no,PESQUISE E PARTICIPE Consulta Publica  PEC 
289,no,ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL
290,no,Continuam espalhando as mesmas mentiras de sempre
291,no,Voltaram so a fazer o que senpre fizerem Sao os defensores do povo lamentavel 
292,no,quebraram o pais e ainda tentam boicotar quem quer trabalhar
293,no,BOICOTARAM um governo eleito por  anos SAO GOLPISTAS e nao querem oposicao ahahahh fazme rir
294,yes,Eu desempregado e esses esquerdopatas enchendo a mesa de caixinhas com bosta dentro
295,no,PESQUISE E PARTICIPE Consulta Publica  PEC 
296,no,ESTAMOS PERTINHOS DE UM MILHAO DE PARTICIPANTES ACORDA BRASIL
297,yes,Diz pra esse povo parar de ficar dando chilique e tomar vergonha  na cara Que palhacada e essa
298,no,Esperem que esse  grupo do mal  nas proximas eleicoes vao  chegar ao fim
299,no,Rodrigo nao bagunce as ideias Uma coisa e uma coisa e outra coisa e outra coisa 
300,no,Vamos lutar muito pelos nossos direitos conquistados com tantas lutas 
301,no,TA animadinho porque rapaz APOSENTADORIA DESCONTADA EM  VAI PEGAR SEU VOVO TAMBEM AHAHAHAH
302,yes,Essa corrupta terrorista apresenta uma ameaca ao honesto povo Uruguaio
303,no,uma mulher que destruiu a Petrobras destruiu a economia e enriqueceu as nossas custas
304,yes,A BARATA CASCUDA VIAJOU DE PRIMEIRA CLASSE COM NOSSO DINHEIRO 
305,no,Pelo menos a esquerda uruguaia Nao roubou o mojica ainda ta de fusca
306,no,Esta vendo a possibilidade de asilo politico ja que em breve recebera ordem de prisao
307,no,Isso mesmo Nao tinha pensado nisso mas e uma hipotese plausivel
308,no,Deve estar verificando a possibilidade de asilo para o Lu
309,no,O asilo e pra ela mesmo ela nao esta nem ai para excompanheiro de palanque
310,no,Mas nao vai ter um tupamaro ja foi tirado do poder ela aki nao forma
311,yes,Essa anta incompetenta  ainda esta solta
312,no,ta solta e nos ja invadimos fortaleza daqui a pouco sua novelina sai fora do ar
313,yes,Esse mortadela ja bebeu tanta cachaca q nao esta falando coisa com coisa 
314,yes,Temer ta bem pra caramba ne  Trouxinha
315,yes,marcos voce nasceu assim ou bateu a cabeca quando era crianca 
316,no,fafa e daqueles  alunos que eram zuados na escola por isso paga de revoltadinho na internet 
317,yes,sem mortadela a esquerdinha fica revoltadinha chega a dar do 
318,no,O Pentateuto que nome estranho acredite Sua capacidade de discernir ainda pode ser resgatada
319,yes,E tao retardada que foi comemorar o dia das bruxas no Uruguai em novembro
320,yes,Quantas horas de vassoura de Porto Alegre ate Montevideo
321,no,pena qual linha esta na reportagem que devo ter pulado essa
322,no,sou obrigado sei sim so nao quero nao sou perfeito esqueco as vezes rs 
323,no,Isso que esta na mao dela nessa foto por acaso e um baseado 
324,no,Deve ser Ela nao iria desrespeitar o Fidel fumando um charuto no Uruguai
325,no,Se os Uruguaios for na conversa dela vai acabar de falir tambem
326,no,Ela ganhou um Oreo do  Tabare e num milenar ritual esquerdista esta oferecendo ao vento 
327,yes,Infelizmente tudo q nao presta nesse pais da ibope essa anta e prova viva disso
328,no,Pena que ainda existam vermelhos espalhados no pais quer dizer no mundo
329,yes,Sera que ela se hospedou na mansao do  dedos em punta Del este
330,yes,Sabe onde esta o dedo que falta Socado na sua mae kkkkkk
331,yes,Vai ser dificil a minha ha anos esta no ceu a sua ta na zona
332,yes,Nao acredito A barata cascuda deve ter alugado um hotel  estrelas inteiro
333,yes,Se essa coisa ficar mais uma semana  la o Uruguai entra em recessao
334,no,Ja estamos tendo este cuidado o peso vai pesar sobre o real dela
335,yes,NAO ESTAO NAO SENAO RECRUTARIAM A TUA MAE SEU VERME
336,no,To sentido que tem defensores de bandido por perto FUI
337,yes,UM ES CRO TO DESSES E VERME MESMO
338,yes,sabe o que ela tem mais que nos Ela tem mais e QSF
339,no,E foi defenestrada pelo mesmo povo que nao aceita insulto 
340,yes,Junto com temer  idiota Sao as escolhas dos petralhas
341,no,Lamentavel mais eu garanto que em  meu voto e do Luiz Inacio Messias da Silva
342,no,E que nao volte de la Damos de presente pros uruguaios
343,no,o Brasil ta quebrado e temer esta emprestando  bilhoes ao FMI
344,yes,ReNew nino vc leu a peca   ou e mais um esquerdopata maionete vai com as outras 
345,no,muito bom depois de doar bilhoes de U na vizinhanca agora foi colher dividendos
346,yes,Comunista defendendo a  Democraciakkkkk esses vermelhinhos sao uma piada
347,no,Estao perdidinhos Nem anotaram a placa do caminhao que atropelou a petebada em outubro
348,yes,Essa velha deve ter grana la O pedecana ganhou casa la de um empresario do RGS
349,yes,Foi recebida com  muito  capim e agua  fresca   
350,yes,Aproveita e deixa essa capivara por ai
351,yes,OS LARAPIOS ESTAO SE REAGRUPANDO TEM QUE PRENDER LOGO OS CHEFES NAO SEI PORQUE A DEMORA
352,yes,Pq o Morosita recebe ordens externas A ordem nao chegou ainda
353,yes,Pq o Morosita recebe ordens externas A ordem nao chegou ainda
354,yes,DEMOCRACIA BANDIDA CUMUNISTA ASSALTANTE DE BANCO 
355,yes,Que fique por la essa ANTA
356,yes,Porque que essa VAGAzBUNDA FILzHA DA PUzTA nao vai DAzR O CzU PRO CAPzETA
357,no,O Uruguai mais uma vez ira receber a escoria do Brasil
358,no,aqu nao tem lugar para carne de pescoco o povo gosta so de picanha na parrilla
359,no,Comunista fazendo ato por democracia Democracia vermelha
360,no,Nao e que a veia ta segurando um cigarrinho de maconha mesmo 
361,no,NAO E MACONHA    E CANABIS  SEJA MAIS ELEGANTE  NESTE CAITE
362,no,a batata dela ta assando e ja fazendo plano de fuga
363,yes,Ela foi la para a limpesa semanal na casa onde o mula vai ficar escondido
364,yes,Espero que essa infeliz fique por la e so volte quando for convocada pela receita federal
365,yes,A anta foi pro Uruguay  pra elaborar seu plano de fuga junto aos seus comparsas e aliados
366,no,Estamos exportando mortadela Essa fica de graca  
367,no,Isso nao e forca e falta de senso de ridiculo mesmo
368,no,ja e a terceira vez que comento aqui Por que sera que meus comentarios sao censurados
369,no,Porque este robozinho fica buscando o q nao deve pra censurar o q precisa ele nao elimina
370,no,Depois dessa visita o Tabare Vasquez nao ganha eleicao nem para sindico de predio
371,yes,Fica ai Janete traste inutil Destruiu o brasil vaca
372,no,Tabare Vazquez vc deveria escolher melhor suas amizades 
373,no,Para nao levantar suspeita foi pedir exilio para o dono do triplex 
374,no,foi lindo ver essa incompetente  cair igual Jaca madura 
375,no,Reuniao de ex guerrilheiros Sabe la o que fizeram 
376,no,o temer e o melhor que ta tendo ne com ele nosso pais e a sexta maior potencia do mundo ne
377,yes,Tem que cuidar para que esta bandida nao venda infirmacoes sensiveis do Brasil
378,no,Quem tem motivos pra fugir sao aqueles que aparecem constantemente nas listas da lava jato
379,yes,Seus baitola vem fazer na mao vou dar um Murro certeiro nessa tua cara feia da porrrra
380,no,Ta louca Davi To afim de fazer nada na tua mao nao
381,yes,Essa velha ta armando plano de fuga pra ela e para o pedecana Ta na cara So a PF nao ve
382,yes,Ve se nao volta nunca mais e mora na fazenda do molusco
383,no,Dali ele foi pro Panama para acabar de esconder o butim
384,yes,REUNIAO DE COMUNISTAS E CORRUPTOS
385,no,Esses atos uruguaios com a presenca dela e  importante tanto quanto o preco da banana em Monaco
386,no,OS PETRALHAS ESTAO ARRUMANDO ESCONDERIJO
387,no,Ajudou afundar o pais E nao tem vergonha na cara Acha tudo normal
388,yes,Ai que ela fique por la definitivo e leve o molusco tb
389,no,La ela foi recebida por Tabare Aqui onde vai e recebida por alguns Tabareus
390,no, O grande erro foi ter entregue aquela ponta de terra no extremo sul do Brasil
391,yes,Cruz credo dessa bosta
392,no,Tabarez digame com quem andas e te direi quem es
393,no,ato pela democracia ta bom me engana que eu gosto
394,yes,Porque nao morre desgraca
395,no,Isso dai e formacao de quadrilha A defesa da democracia so risos
396,yes,Ta fazendo a cama para e para o Moluscovai que
397,no,Essa  muie nem drome nem da cuie nem brinca em fiuvicoCuidado
398,yes,a zika mosquita estocadora de vento tambem esta de mudanca pro Uruguai vai ser vizinha do molusco
399,no,Depois de tanto roubar nada melhor do que passear
400,no,Ficou mal ela ser recebida pelo presidente do Uruguai Fora de padrao
401,yes,Essa terrorista nao vai presa por ter roubado e atrasado um pais Que morra logo demonio
402,yes,O que a velha tem na mao   ops desculpa   tem no casco  
403,yes,Depois de legalizar a maconha agora o uruguai legaliza outra droga Um pais a beira do precipicio 
404,no,Quando falamos a verdade nao publicam Ainda falam em liberdade de expressao
405,no,Olha ai Sergio moro ela dando vacilo kkk pega ela pow
406,no,Putskkkkkde grande relevancia e importanciakkkkkkk
407,no,Provavelmente esta planejando a rota de fuga para o pais vizinho
408,yes,morre desgracada
409,no,Sera que ela discursou por la Dizem que ela fala espanhol sem sotaque
410,no,Esse Tabare e o tipico bolivariano light se e que isso existe
411,no,Saida pela tangente ou tambem comprando casa
412,no,NAO SABIA QUE O URUGUAI GOSTAVA DE TANTA PORCARIA JUNTO
413,yes,gracas a idiota Levandowhisky
414,no,Queria ver ela indo pro Paraguai tomar outro calote kkkkkkkkkkkk
415,yes,Foi dar uma olhadinha na conta dela e aproveitando vai ficar na casa do  dedos em punta
416,yes,Vagabunda
417,no,Vao sentir falta da dentadura e do pao com mortadela
418,yes,Bruno nao e Kou e assimVa tomar no seu Gu
419,yes,Ja fez programa hoje 
420,yes,Vira ai que eu vou apontar o dedo no seu
421,yes,pensem numa MORTADELA maconheira chata 
422,no,e vc deve ser  mais uma assistida pelo bolsa esmola 
423,yes,Vc tem algum retardo ou e burrice mesmo Maria
424,yes,Essa Maria Benta provou do peba na pimenta de seu Malaquias 
425,yes,maria vai lavar uma louca que voce ganha mais 
426,yes,Toma vergonha na cara seu boiola maconheiro infectado
427,yes,Quase sempre um boyola reconhece outro boyola e o caso do rubinho
428,yes,O cara vai chupar uma piroca  vai
429,no,quanta gente raivosa que horror
430,no,Entao va para la e aproveite case com um homem de la
431,yes,GAYZINHOS DE BARBA SAO OS QUE MAIS ENTRISTECEM OS PAIS
432,yes,Ganhou duas vezes dos coxinhas Golpistas Entendo essa raiva
433,yes,Ganhou pq nordestino nao sabe votar
434,no,OBSERVO QUE ESTAO COMPARECENDO MUITO MAIS DESCONTENTES COM O GOLPE MUITO BOM
435,no,Entrou pelo voto Saiu pelo voto Cade o golpe So se for na primeira afirmacao ne
436,yes,Ganhou com BILHOES roubados da Petrobras BNDES e Furnas
437,no,Vinicius Moraes posso te chamar de Naldo  Eh mais adequado kkkkkk
438,yes,Marcio nao sou seu irmao nao Nao tenho irmao baitola
439,yes,Ta com mais moral que o presidento dos coxinhas kkkkkkkkkkkkkkk
440,yes,E so ver o numero de dislike de seu coment inutil e ver que nao tem tanta moral assimPalhaco 
441,yes,Quena o Tirso esta sentindo muita falta do charuto de mertadela tadinho aceita que doi menos
442,yes,Aonde a vaca vai o boi vai atrasTa apaixonado
443,yes,Tirso tem gente que come pela boca voce certamente come por tras
444,no,Carambaachei que ela ja tinha morrido e o Tirso tambem
445,no,Democracia feito a venezuela que os petebas queriam Que tal arrumar um emprego
446,no,Roubalheira Entao governo oriundo de roubalheira e ladrao tambem Eleicoes ja
447,no,A leveza de um paralelepipedo e a honestidade de um NOVE DEDOS
448,no,Sera que o MAV consegue ler e falar paralelepipedo
449,no,Tenho total condicao de dar minha opiniao enquanto liberdade de expressao me valer Enfim 
450,yes,Rosanabandida esquerdista e fedorenta
451,no,Osvaldo Miranda nao concordo Mas respeito seu comentario
452,no,rosana a sua revolta e devido a falta de mortadela 
453,no,nao e ofensa e curiosidade mesmo  sabe tipo estudo dos animais 
454,no,O golpe dela Rosana pra se reileita se chama bolsa familia
455,no,ele esta de escarnio estava acreditando nele ate ele falar em beleza e elegancia
456,no, Por isto ele usa o pseudonimo  de SURREAL bidu 
457,no,aha ta bom vou acreditar mentirinha nao acredito nao 
458,no,Collor nao e digno nem para limpar os sapatos  desta  DIVA
459,no,coitadinha quer dizer que a pobrezinha foi vitima de um golpe faz um favor e a leva pra casa
460,no,Nosso alvo e Nacional e nao municipalaonde todos se DOBRARAO
461,no,ELA DESFILARA SUA ELEGANCIA BELEZAPELAS RUAS E AVENIDAS DO BRASILNAO SE PREOCUPEM
462,yes,esse ai gosta de um charuto de mortadela no meio das pernas
463,yes,minha esperanca e que vc fosse um troll mas da para ver que vc e ignorante mesmo
464,yes,Agora eu vi a capacidade do ser humano de ser TROXA
465,no,Ilegitimo Foi vc que votou no Temer Eu votei Aecio Quem colocou seu presidento no poder foi vc
466,no,Joao Claudio lamento Minha resposta nao foi publicada 
467,no,O  Sr  Temer foi posto la por vcs que votaram nela
468,yes,Estrategia VERMELGA ACEFALA terceirizar a culpa xingar e denegrirKKKK TCHAU QUERIDOS
469,no,Porque nao vai aos Hospitais que estao super lotados e falta de equipamentos
470,yes,Rosangela voce nao tem nivel nem para comentar um assunto deste E uma coitada
471,yes,Coitada e o minimo a definila      Eu a chamaria de PODRE   
472,yes,Ela e autoridade maxima do Judiciario nao e ministra da saude Vao se informar seus zes ruelas
473,yes,burro
474,no,nao tiro um real do orcamento geral pra destinar a presidio com tanta falta em hospital 
475,no,Ela e da area juridica Hospitais sao da alcada do Ministerio da Saude simples assim
476,yes,Rogerio entao ela tambem nao e secretaria da Seguranca publica seu  ignorante 
477,no,OS PRESIDIOS ESTAO OTIMOS O PROBLEMA SAO AS ESCOLAS E HOSPITAIS
478,no,ainda mais se for hospedar um politico  boa Rubens
479,no,Por que essa revolta Anderson Sua familia esta presa
480,yes,Mortadelas nunca entendem nadaKKK
481,no,Roberto o inteligente o mafioso Skaf pergunta Quem  vai pagar o pato
482,no,Quem negativa sao os presidiarios Lucasestao equipados dentro dos presidios
483,yes,Bandido tem mais e que peidar pra Muzenga mesmo Resolvam esse problema de superlotacao fazendo pelo menos  Carandiru por dia Simples 
484,no,Galera do PSOL e comunistas em geral apertem o vermelho mesmo
485,yes,A policia civil do RJ por exemplo nao tem nem privada pra kaggar e essa capivara ta preocupada com bandido 
486,yes,Carmen Capivara Lucia por favor me de o exemplo e leve meia duzia dessas vitimas da sociedade pra sua casa faca um coquete nele libere o anel de couro de refresco de groselha mostre que tem coracao 
487,no,Ate que enfim um comentario que preste O censor da grobo cochilou
488,no,Bandido defendendo bandido Estranho esse papo
489,yes,Ricardo a sua desculpinha e de va  ga  bun  do Uma coisa nao anula a outra
490,no,Eles tem conforto ate demais Sofrimento tem as familias que eles destruiram
491,no,So ha justica para os pobres um pais onde os ricos ficam impune
492,yes,O Roberto adora a palavra acefalo De tanto ouvir ele incorporou ao vocabulario pobre e inculto
493,no,Seria mais interessante ela visitar os hospitais do sus
494,no,Se ela concluiu o ato e porque ele concordouai nao e estupro kkkkkkkkkkkkkkkk
495,yes,Estou torcendo por um estu pro coletivo ja comprei varios azulzinhos rsrsrs
496,no,presidio e lugar pro sujeito pagar seus pecados e nao ficar num resort de ferias
497,no,Vitimas desses bandidos ninguem visita ne uma porque  eles ja mataram 
498,no,Ela poderia visitar tambem algumas escolas onde criancas estudam com os pes na lama com goteiras e muitas vezes com merenda estragada ou ate mesmo sem merenda alguns tendo que andar quilometros a pe ou dentro de caminhoes Isso eu gostaria que gente ligada  a direitos humanos tivesse a decencia de fazer mas nao eles gostam de visitar presidios e defender as pobres vitimas da sociedade As criancas de pes descalcos nao sao vitimas dessa sociedade porca
499,no,Quando sera a visita aos HOSPITAIS  PUBLICO do DF
500,no,deveria haver uma lei obrigando todos politicos a usar so hospitais publicose que todos os hospitais particulares fosse proibidos de atendelos so assim eles olhava para a situacao da saude publica que esta uma VACALHACAO 
501,no,Deveria estar preocupada em acelerar julgamentos que beneficiam aos trabalhadores ao inves de se preocupar com bandidos
502,no,Porque nao vai visitar as familias das vitimas desses criminosos 
503,no,e os parentes dos que foram mortos por eles
504,no,Santa hipocrisia Batman manda ela visitar hospitais publicos para ver se estao superlotados
505,no,Parabens Dra Carmen  ao menos a Sra foi la diferente de outros que nem sabe que aquilo existe  sabem que sao marginais mas nao podemos nos igualar com eles     
506,no,Nao quer ficar em uma cela superlotada Nao roube Trabalhe honestamente garanto que isso nao vai ser problema
507,no,Pouco conhecimento da leiatodos sao iguais depois de julgados e condenados exceto militares
508,yes,Querendo se aparecer porq nao vai visitar as vitimas desses estrumes  Lamentavel 
509,no,Entao ministra mais um motivo para instalar a pena de morte
510,no,Esta visitando as novas instalacoes do Conde Dracula e seus Vampiros
511,no,sera  que  a   ministra Carmen Lucia presidente do Supremo Tribunal Federal   esta  procurando  vagas  para  os  politicos  ladroes  Bandidooooooooooooooos   no  presidios   que  esta  visitando   kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
512,no,Essa ministra trabalha a menos de  km dos hospitais de BASE e HRAN sera que pretende visitar os
513,no,Sempre a admirei agora mais ainda      Bela atitude  
514,no,Precisavamos de mais Presidentes assim
515,no,Peco ajuda aos universitarios que me ajudem a interpretar o que o zozoi quis dizer
516,no,Ela deveria levar o Renan Calheiros junto com ele mas ele ficaria la mesmo
517,no,Por que a excelentissima ministra nao visita a familia das vitimas  
518,no,Deixa de ser ignorante Quem precisa de mudanca e o preso nao a vitima
519,no,tem que colocar pena de morte ai vai diminuir bastante
520,no,Sera que houve uma faxina para a visita da Ministra 
521,no,Por que nao se reuniu com os parentes das vitimas
522,no,Trabalhar ninguem quer senao estaria vazio
523,no,Gosto delaNo STF e a unica que sabe o que diz e entende o que escuta
524,no,VAI NO CEMINTERIO ESTA MAIS LOTADO CHEIO DE INOCENTES MORTOS PELAS MAOS DESSES VERMES
525,no,Agora ela virou Ministra da Seguranca ou nao tem nada pra fazer no STF  
526,no,Tem que visitar nossas ESCOLAS e HOSPITAIS 
527,no,Nao vejo  ir visitar hospitais com criancas idosos e trabalhadores nas linhas finas
528,no,vamos ver quantas maes que tiveram seus filhos assassinados por estes assaltantes a Ministra vai visitar
529,no,Ave Dra Carmen Lucia os que estao prestes a morrer lhe saudam 
530,no,Os poderes estao  preocupados com bandidos  que tem de tudo que o cidadao onesto e renegado
531,no,Daqui pra frente vai piorar porque nao havendo emprego   vai aumentar os furtos e roubos 
532,no,Aproveita que esta ai e ja implanta pena de morte para esses lixos  Bndido bom E bndido mrto
533,no,Uma visita aos familiares vitimados por essa escoria sera louvavel
534,no,Tenho pena so das vitimas deles Quem se comporta nao vai preso
535,yes,Inversao de valores ao inves dessa velha visitar hospitais asilos orfanatos visita presidios vai tomar no 
536,no,E quando vai visitar os hospitais e tumulos das vitimas desses marginais
537,no,Superfaturamento de TV e algum Senador ou Deputado coloca um  no bolso
538,no,duvido que essa ministra peca reducao de seu salario para tres mil reais
539,no,Fazer o que por culpa suas se tivesse leis severas estavam vazios
540,no,Tinha tirar todos auxilios de familias mande suas familias trabalharem para sustentarem
541,no,Presidio superlotado  F  o  D a  SE eu quero saber e da fila  nos hospitais creche e em busca de emprego
542,no,pra mim ta vazio a ministra que vai cuidar dos politicos safados que eles protegem 
543,no,Que tal  cada indulto dado um juiz leva um preso para casa
544,no,Deveria  julgar as acoes envolvendo Jose Serra Os  milhoes ninguem fala Cade a Veja
545,no,Vai querer aparecer mais que o Moro isso vai gerar uma ciumeira
546,no,eta Dra Carmem Lucia a senhora esta se saindo uma grande marqueteira
547,no,Se depender do STF Manda soltar todo mundoE com aposentadoria Ainda por cima
548,no,Deveria ser aplicada a etica de Aristoteles no sistema prisional  A justa medida
549,no,os presidios lotados e milhoes querendo entrar neles isso e um paradoxo 
550,yes,O MOLUSCO VAI ACHAR A CADEIA SUPERLOTADA E PRA NAO DAR NA PINTA ELA COMECOU A VISITAR OUTRAS ANTES
551,no,ESSA MULHER FAZ CADA COISA
552,no,Depois que recebeu o premio agrado da Globo ta se achando
553,no,manda matar tudo e  esvazie as celas e vire heroina nacional
554,yes,So falta essa Judia carcamana ficar com do Leve pra sua casa no lago sul
555,no,O Gilmar MendesPSDB vai ficar com ciumesEla esta querendo aparecer mais que ele
556,no,Unico que compre ena no Brasil sao os pobres Seus bando de hipocritas hipocritas e hipocritas
557,yes,A corja que apoia o golpe so fala merda
558,yes,Essa idiota nao tem o que fazer
559,yes,Sempre digo que mulher feia costuma dar problemaNao ha quase excecao algumaTem umas que quando chegam a Presidencia da Republica dao tanto problema que vc nao acredita
560,no,Excelente a iniciativa da Ministra e Presidente Carmen Lucia Parabens
561,no,Essa velha deveria passear menos e agir mais Ate agora so conversa
562,no,Para vai Saulo mim esses presos que estao la sao os mais perigosos do brasil
563,no,Neimar pela esquerda Gabriel Jesus pelo meio e Marinho pela direita que ataque 
564,no,Marinho kkkkkkk so por que jogou bem ontem e ja merece selecao
565,no,Com PaulinhaFernandinha em campo o Messi vai deitar
566,no,Pra quem nao sabe e aquele mesmo hotel que a Ana Hickimann estava
567,no,O Brasil deve vencer mas vai ser um jogo dificil
568,no,x no minino mano o Bauza vai vim todo na retranca
569,no,Enquanto isto o Senado gasta  mil na decoracao de um gabinete
570,no,SE TITE NAO SE TOCAR MESSI VAI DEITAR NO PAULINHOBRASIL X
571,no,Gastar  mil com reforma do gabinete de romero juca e sacanagem com o povo
572,no,Vai que Neymar faz um gol contra para agradar o Messy
573,no,RLX  neymar ja ta bem treinado pelo barca  so chegar e vesti o uniiforme 
574,no,O PALMEIRAS VAI SER CAMPEAO  SEM MIMIMI MUNDIAL DE 
575,no,O que o Carlinhos Brown ta fazendo aivai cantar as babaquices dele
576,no,o neymar faria alguma falta na selecao ou a sua ausencia seria melhor  
577,no,Parece aquelas perguntas ridiculas da globo no meio do jogo
578,no,Felipe massa ja vai se aposentar O que sera dessa selecao 
579,no,Bauza retranqueiro vai botar pra cacar o neymar podem tirar print
580,no,Marinho e um jogador que desequilibra qualquer jogo
581,no,Tomara que a Argentina goleie estes frescos
582,no,O Sao Paulo ja foi rebaixado 
583,no,VAMOS MASSA ATLETICANA LOTAR O MINEIRAO PARA APOIAR A ARGENTINA DE LUCAS PRATTO
584,no,VAMOS MASSA ATLETICANA LOTAR O MINEIRAO E APOIA O PRATTO
585,no,O Pratto ai lado de Messi  vai deitar e rolar em cima da nossa selecao falida
586,yes,kkkkkkkk falida igual seu comentario idiota
587,no,Mas ele so pipoca quando a coisa aperta sempre foi assim
588,no,Pipoca nada e um excelente zagueiro o  a  nao foi culpa dele
589,no,vamos voltar  anos atras e ver o que ele fez no  x 
590,no,corinthians o melhor aluno do enem enemlibertadores enempaulista enembrasileirao enemcopa do brasil
591,no,Ele virou goleiro
592,no,quem nasceu para ser  a  jamais sera Junior Baiano 
593,no,Ta jogando bem mais na selecao nao tem mais chance   Thiago Silva marquinhos Miranda sao melhores  
594,no,Jogar no PSG e decrescimo na carreira
595,no,na  boa  davi luiz  deu muito certo coma  camisa  do chelsea no  psg  nao era  pra  ele
596,no,Em compensacao de vez em quando leva 
597,no,Globo iniciando o lobby para o seu retorno para a Selecao
598,no,David Luiz agora e goleiro pra ter recorde pessoal de menos vazado
599,no,E aqui toma  em um jogo so o cara e muito ruim
600,no,ele possui outro recorde tomar  gols em um jogo
601,no,Cahill ainda tem pesadelos com Emerson Sheik e Paolo Guerrero
602,no,Ele so vai igualar o record pessoal quando ficar SETE jogos sem levar gols
603,no,Joga muito
604,no,Esses fans e torcedores do CR e Real Madrid sao uma piada Raca nojenta 
605,no,Melhor do mundo
606,no,Apelando nao compara com qualquer um ele joga Facil
607,no,Melhor do mundo e o Messi aceitem este fato Ronaldetes
608,no,essa modinha de rivalidade os  sao excelentes jogadores pronto
609,no,Daniel Lima Nao e rivalidade e a verdadeMessi esta acima de todos no futebol atual
610,no,e kkkkkkkkkkkkkkkkkkkkkkkkkk Pepe tbm ganhou e fez mais que CR man 
